nam_hoc,tinh,tong_diem,so_hoc_sinh
2023,Đồng Tháp,3.8,1
2023,Đồng Tháp,4.5,1
2023,Đồng Tháp,5.0,1
2023,Đồng Tháp,5.2,1
2023,Đồng Tháp,6.5,1
2023,Đồng Tháp,8.3,1
2023,Đồng Tháp,8.5,3
2023,Đồng Tháp,9.35,1
2023,Đồng Tháp,9.5,1
2023,Đồng Tháp,9.55,1
2023,Đồng Tháp,9.6,1
2023,Đồng Tháp,9.9,1
2023,Đồng Tháp,10.450000000000001,1
2023,Đồng Tháp,10.5,1
2023,Đồng Tháp,10.6,1
2023,Đồng Tháp,10.75,1
2023,Đồng Tháp,10.85,1
2023,Đồng Tháp,10.95,1
2023,Đồng Tháp,11.0,2
2023,Đồng Tháp,11.05,1
2023,Đồng Tháp,11.1,1
2023,Đồng Tháp,11.5,1
2023,Đồng Tháp,11.55,1
2023,Đồng Tháp,11.75,1
2023,Đồng Tháp,11.9,1
2023,Đồng Tháp,12.0,2
2023,Đồng Tháp,12.1,1
2023,Đồng Tháp,12.15,1
2023,Đồng Tháp,12.25,3
2023,Đồng Tháp,12.55,1
2023,Đồng Tháp,12.6,1
2023,Đồng Tháp,12.7,1
2023,Đồng Tháp,12.75,3
2023,Đồng Tháp,12.8,2
2023,Đồng Tháp,12.85,1
2023,Đồng Tháp,12.9,3
2023,Đồng Tháp,13.0,2
2023,Đồng Tháp,13.25,1
2023,Đồng Tháp,13.35,1
2023,Đồng Tháp,13.5,6
2023,Đồng Tháp,13.55,1
2023,Đồng Tháp,13.65,3
2023,Đồng Tháp,13.7,1
2023,Đồng Tháp,13.75,3
2023,Đồng Tháp,13.8,2
2023,Đồng Tháp,13.9,2
2023,Đồng Tháp,13.95,1
2023,Đồng Tháp,14.0,4
2023,Đồng Tháp,14.05,1
2023,Đồng Tháp,14.15,1
2023,Đồng Tháp,14.2,1
2023,Đồng Tháp,14.25,1
2023,Đồng Tháp,14.3,2
2023,Đồng Tháp,14.5,2
2023,Đồng Tháp,14.55,3
2023,Đồng Tháp,14.6,2
2023,Đồng Tháp,14.65,3
2023,Đồng Tháp,14.7,1
2023,Đồng Tháp,14.75,5
2023,Đồng Tháp,14.8,3
2023,Đồng Tháp,14.9,3
2023,Đồng Tháp,14.95,2
2023,Đồng Tháp,15.0,2
2023,Đồng Tháp,15.05,2
2023,Đồng Tháp,15.15,1
2023,Đồng Tháp,15.25,2
2023,Đồng Tháp,15.35,2
2023,Đồng Tháp,15.4,1
2023,Đồng Tháp,15.45,3
2023,Đồng Tháp,15.48,1
2023,Đồng Tháp,15.5,3
2023,Đồng Tháp,15.52,1
2023,Đồng Tháp,15.55,4
2023,Đồng Tháp,15.6,2
2023,Đồng Tháp,15.65,2
2023,Đồng Tháp,15.75,7
2023,Đồng Tháp,15.8,4
2023,Đồng Tháp,15.85,2
2023,Đồng Tháp,15.9,3
2023,Đồng Tháp,15.95,1
2023,Đồng Tháp,16.0,5
2023,Đồng Tháp,16.05,2
2023,Đồng Tháp,16.1,3
2023,Đồng Tháp,16.15,2
2023,Đồng Tháp,16.17,1
2023,Đồng Tháp,16.2,7
2023,Đồng Tháp,16.25,7
2023,Đồng Tháp,16.3,6
2023,Đồng Tháp,16.35,5
2023,Đồng Tháp,16.4,3
2023,Đồng Tháp,16.45,5
2023,Đồng Tháp,16.5,9
2023,Đồng Tháp,16.55,4
2023,Đồng Tháp,16.6,3
2023,Đồng Tháp,16.65,2
2023,Đồng Tháp,16.7,4
2023,Đồng Tháp,16.75,4
2023,Đồng Tháp,16.8,3
2023,Đồng Tháp,16.85,6
2023,Đồng Tháp,16.9,6
2023,Đồng Tháp,16.95,2
2023,Đồng Tháp,17.0,10
2023,Đồng Tháp,17.05,4
2023,Đồng Tháp,17.1,5
2023,Đồng Tháp,17.15,5
2023,Đồng Tháp,17.2,4
2023,Đồng Tháp,17.25,12
2023,Đồng Tháp,17.27,1
2023,Đồng Tháp,17.3,1
2023,Đồng Tháp,17.35,5
2023,Đồng Tháp,17.4,7
2023,Đồng Tháp,17.45,3
2023,Đồng Tháp,17.5,6
2023,Đồng Tháp,17.55,5
2023,Đồng Tháp,17.6,5
