nam_hoc,mon_hoc,diem,so_hoc_sinh
2025,cn_cong_nghiep,2.3,1
2025,cn_cong_nghiep,2.45,1
2025,cn_cong_nghiep,2.5,1
2025,cn_cong_nghiep,2.6,3
2025,cn_cong_nghiep,2.7,1
2025,cn_cong_nghiep,2.8,2
2025,cn_cong_nghiep,2.85,4
2025,cn_cong_nghiep,2.95,2
2025,cn_cong_nghiep,3.0,4
2025,cn_cong_nghiep,3.1,20
2025,cn_cong_nghiep,3.2,5
2025,cn_cong_nghiep,3.25,10
2025,cn_cong_nghiep,3.3,1
2025,cn_cong_nghiep,3.35,27
2025,cn_cong_nghiep,3.45,9
2025,cn_cong_nghiep,3.5,18
2025,cn_cong_nghiep,3.6,23
2025,cn_cong_nghiep,3.7,8
2025,cn_cong_nghiep,3.75,32
2025,cn_cong_nghiep,3.8,1
2025,cn_cong_nghiep,3.85,46
2025,cn_cong_nghiep,3.9,1
2025,cn_cong_nghiep,3.95,22
2025,cn_cong_nghiep,4.0,51
2025,cn_cong_nghiep,4.1,53
2025,cn_cong_nghiep,4.2,17
2025,cn_cong_nghiep,4.25,70
2025,cn_cong_nghiep,4.35,63
2025,cn_cong_nghiep,4.45,15
2025,cn_cong_nghiep,4.5,61
2025,cn_cong_nghiep,4.55,2
2025,cn_cong_nghiep,4.6,52
2025,cn_cong_nghiep,4.7,10
2025,cn_cong_nghiep,4.75,85
2025,cn_cong_nghiep,4.85,47
2025,cn_cong_nghiep,4.95,12
2025,cn_cong_nghiep,5.0,70
2025,cn_cong_nghiep,5.1,48
2025,cn_cong_nghiep,5.2,9
2025,cn_cong_nghiep,5.25,76
2025,cn_cong_nghiep,5.35,49
2025,cn_cong_nghiep,5.45,9
2025,cn_cong_nghiep,5.5,86
2025,cn_cong_nghiep,5.6,35
2025,cn_cong_nghiep,5.7,2
2025,cn_cong_nghiep,5.75,84
2025,cn_cong_nghiep,5.85,30
2025,cn_cong_nghiep,5.95,1
2025,cn_cong_nghiep,6.0,88
2025,cn_cong_nghiep,6.1,30
2025,cn_cong_nghiep,6.2,4
2025,cn_cong_nghiep,6.25,87
2025,cn_cong_nghiep,6.35,27
2025,cn_cong_nghiep,6.45,2
2025,cn_cong_nghiep,6.5,80
2025,cn_cong_nghiep,6.6,24
2025,cn_cong_nghiep,6.7,1
2025,cn_cong_nghiep,6.75,66
2025,cn_cong_nghiep,6.85,16
2025,cn_cong_nghiep,7.0,86
2025,cn_cong_nghiep,7.1,16
2025,cn_cong_nghiep,7.25,76
2025,cn_cong_nghiep,7.35,12
2025,cn_cong_nghiep,7.5,74
2025,cn_cong_nghiep,7.6,6
2025,cn_cong_nghiep,7.75,54
2025,cn_cong_nghiep,7.85,5
2025,cn_cong_nghiep,8.0,61
2025,cn_cong_nghiep,8.1,2
2025,cn_cong_nghiep,8.25,40
2025,cn_cong_nghiep,8.35,6
2025,cn_cong_nghiep,8.5,45
2025,cn_cong_nghiep,8.6,2
2025,cn_cong_nghiep,8.75,34
2025,cn_cong_nghiep,8.85,1
2025,cn_cong_nghiep,9.0,24
2025,cn_cong_nghiep,9.25,18
2025,cn_cong_nghiep,9.5,15
2025,cn_cong_nghiep,9.75,5
2025,cn_cong_nghiep,10.0,4
