nam_hoc,mon_hoc,diem,so_hoc_sinh
2025,cn_nong_nghiep,1.55,1
2025,cn_nong_nghiep,1.85,2
2025,cn_nong_nghiep,1.95,1
2025,cn_nong_nghiep,2.1,1
2025,cn_nong_nghiep,2.2,1
2025,cn_nong_nghiep,2.35,3
2025,cn_nong_nghiep,2.45,2
2025,cn_nong_nghiep,2.6,5
2025,cn_nong_nghiep,2.7,3
2025,cn_nong_nghiep,2.75,3
2025,cn_nong_nghiep,2.85,8
2025,cn_nong_nghiep,3.0,4
2025,cn_nong_nghiep,3.1,3
2025,cn_nong_nghiep,3.2,5
2025,cn_nong_nghiep,3.25,10
2025,cn_nong_nghiep,3.3,1
2025,cn_nong_nghiep,3.35,11
2025,cn_nong_nghiep,3.45,8
2025,cn_nong_nghiep,3.5,10
2025,cn_nong_nghiep,3.6,21
2025,cn_nong_nghiep,3.7,7
2025,cn_nong_nghiep,3.75,14
2025,cn_nong_nghiep,3.8,1
2025,cn_nong_nghiep,3.85,20
2025,cn_nong_nghiep,3.9,1
2025,cn_nong_nghiep,3.95,4
2025,cn_nong_nghiep,4.0,18
2025,cn_nong_nghiep,4.1,28
2025,cn_nong_nghiep,4.2,7
2025,cn_nong_nghiep,4.25,24
2025,cn_nong_nghiep,4.35,23
2025,cn_nong_nghiep,4.45,6
2025,cn_nong_nghiep,4.5,50
2025,cn_nong_nghiep,4.6,30
2025,cn_nong_nghiep,4.7,6
2025,cn_nong_nghiep,4.75,67
2025,cn_nong_nghiep,4.85,56
2025,cn_nong_nghiep,4.95,8
2025,cn_nong_nghiep,5.0,93
2025,cn_nong_nghiep,5.1,66
2025,cn_nong_nghiep,5.2,10
2025,cn_nong_nghiep,5.25,137
2025,cn_nong_nghiep,5.3,1
2025,cn_nong_nghiep,5.35,91
2025,cn_nong_nghiep,5.45,12
2025,cn_nong_nghiep,5.5,185
2025,cn_nong_nghiep,5.6,105
2025,cn_nong_nghiep,5.7,13
2025,cn_nong_nghiep,5.75,288
2025,cn_nong_nghiep,5.85,133
2025,cn_nong_nghiep,5.95,8
2025,cn_nong_nghiep,6.0,368
2025,cn_nong_nghiep,6.1,138
2025,cn_nong_nghiep,6.2,9
2025,cn_nong_nghiep,6.25,526
2025,cn_nong_nghiep,6.35,150
2025,cn_nong_nghiep,6.45,8
2025,cn_nong_nghiep,6.5,702
2025,cn_nong_nghiep,6.6,160
2025,cn_nong_nghiep,6.7,5
2025,cn_nong_nghiep,6.75,896
2025,cn_nong_nghiep,6.85,178
2025,cn_nong_nghiep,6.95,3
2025,cn_nong_nghiep,7.0,1181
2025,cn_nong_nghiep,7.1,159
2025,cn_nong_nghiep,7.2,2
2025,cn_nong_nghiep,7.25,1436
2025,cn_nong_nghiep,7.35,155
2025,cn_nong_nghiep,7.45,2
2025,cn_nong_nghiep,7.5,1638
2025,cn_nong_nghiep,7.6,112
2025,cn_nong_nghiep,7.7,2
2025,cn_nong_nghiep,7.75,1756
2025,cn_nong_nghiep,7.85,88
2025,cn_nong_nghiep,8.0,1874
2025,cn_nong_nghiep,8.1,41
2025,cn_nong_nghiep,8.25,1893
2025,cn_nong_nghiep,8.35,30
2025,cn_nong_nghiep,8.5,1810
2025,cn_nong_nghiep,8.6,11
2025,cn_nong_nghiep,8.75,1616
2025,cn_nong_nghiep,8.85,10
2025,cn_nong_nghiep,9.0,1369
2025,cn_nong_nghiep,9.1,3
2025,cn_nong_nghiep,9.25,1015
2025,cn_nong_nghiep,9.5,660
2025,cn_nong_nghiep,9.75,326
2025,cn_nong_nghiep,10.0,101
