nam_hoc,mon_hoc,diem,so_hoc_sinh
2018,gdcd,0.0,300
2018,gdcd,0.5,2
2018,gdcd,0.75,2
2018,gdcd,1.0,16
2018,gdcd,1.25,31
2018,gdcd,1.5,42
2018,gdcd,1.75,86
2018,gdcd,2.0,116
2018,gdcd,2.25,204
2018,gdcd,2.5,331
2018,gdcd,2.75,489
2018,gdcd,3.0,637
2018,gdcd,3.25,1025
2018,gdcd,3.5,1391
2018,gdcd,3.75,1939
2018,gdcd,4.0,2542
2018,gdcd,4.25,3490
2018,gdcd,4.5,4703
2018,gdcd,4.75,6322
2018,gdcd,5.0,8122
2018,gdcd,5.25,10830
2018,gdcd,5.5,13558
2018,gdcd,5.75,17053
2018,gdcd,6.0,20983
2018,gdcd,6.25,25156
2018,gdcd,6.5,29615
2018,gdcd,6.75,34068
2018,gdcd,7.0,37480
2018,gdcd,7.25,39832
2018,gdcd,7.5,40055
2018,gdcd,7.75,38907
2018,gdcd,8.0,35758
2018,gdcd,8.25,30865
2018,gdcd,8.5,25528
2018,gdcd,8.75,19779
2018,gdcd,9.0,13546
2018,gdcd,9.25,8366
2018,gdcd,9.5,4274
2018,gdcd,9.75,1594
2018,gdcd,10.0,308
2019,gdcd,0.0,101
2019,gdcd,0.25,1
2019,gdcd,0.5,3
2019,gdcd,0.75,3
2019,gdcd,1.0,4
2019,gdcd,1.25,14
2019,gdcd,1.5,19
2019,gdcd,1.75,61
2019,gdcd,2.0,101
2019,gdcd,2.25,160
2019,gdcd,2.5,254
2019,gdcd,2.75,368
2019,gdcd,3.0,566
2019,gdcd,3.25,794
2019,gdcd,3.5,1188
2019,gdcd,3.75,1689
2019,gdcd,4.0,2148
2019,gdcd,4.25,2968
2019,gdcd,4.5,4110
2019,gdcd,4.75,5116
2019,gdcd,5.0,6649
2019,gdcd,5.25,8842
2019,gdcd,5.5,11485
2019,gdcd,5.75,14047
2019,gdcd,6.0,17662
2019,gdcd,6.19,1
2019,gdcd,6.25,21337
2019,gdcd,6.5,25551
2019,gdcd,6.56,1
2019,gdcd,6.75,29372
2019,gdcd,7.0,33713
2019,gdcd,7.25,36658
2019,gdcd,7.5,39219
2019,gdcd,7.75,40136
2019,gdcd,8.0,39464
2019,gdcd,8.25,37638
2019,gdcd,8.5,34111
2019,gdcd,8.75,28791
2019,gdcd,9.0,22666
2019,gdcd,9.25,14895
2019,gdcd,9.5,8205
2019,gdcd,9.75,3258
2019,gdcd,10.0,784
2020,gdcd,0.0,42
2020,gdcd,0.75,2
2020,gdcd,1.0,4
2020,gdcd,1.25,9
2020,gdcd,1.5,13
2020,gdcd,1.75,21
2020,gdcd,2.0,39
2020,gdcd,2.25,57
2020,gdcd,2.5,93
2020,gdcd,2.75,106
2020,gdcd,3.0,148
2020,gdcd,3.25,200
2020,gdcd,3.5,313
2020,gdcd,3.75,408
2020,gdcd,4.0,606
2020,gdcd,4.25,812
2020,gdcd,4.5,1109
2020,gdcd,4.75,1605
2020,gdcd,5.0,2130
2020,gdcd,5.25,2827
2020,gdcd,5.5,3768
2020,gdcd,5.75,4893
2020,gdcd,6.0,6498
2020,gdcd,6.25,8490
2020,gdcd,6.5,11115
2020,gdcd,6.75,14261
2020,gdcd,7.0,18395
2020,gdcd,7.25,23552
2020,gdcd,7.5,29397
2020,gdcd,7.75,35503
2020,gdcd,8.0,41401
2020,gdcd,8.25,47018
2020,gdcd,8.5,50258
2020,gdcd,8.75,50549
2020,gdcd,9.0,46237
2020,gdcd,9.25,37710
2020,gdcd,9.5,25752
2020,gdcd,9.75,13444
2020,gdcd,10.0,4195
2021,gdcd,0.0,24
2021,gdcd,0.5,1
2021,gdcd,0.75,2
2021,gdcd,1.0,2
2021,gdcd,1.25,4
2021,gdcd,1.5,10
2021,gdcd,1.75,8
2021,gdcd,2.0,18
2021,gdcd,2.25,40
2021,gdcd,2.5,50
2021,gdcd,2.75,80
2021,gdcd,3.0,97
2021,gdcd,3.25,147
2021,gdcd,3.5,264
2021,gdcd,3.75,334
2021,gdcd,4.0,491
2021,gdcd,4.25,716
2021,gdcd,4.5,957
2021,gdcd,4.75,1396
2021,gdcd,5.0,1843
2021,gdcd,5.25,2390
2021,gdcd,5.5,3337
2021,gdcd,5.75,4409
2021,gdcd,6.0,5760
2021,gdcd,6.25,7627
2021,gdcd,6.5,10020
2021,gdcd,6.75,12392
2021,gdcd,7.0,15665
2021,gdcd,7.25,19158
2021,gdcd,7.5,23099
2021,gdcd,7.75,27376
2021,gdcd,8.0,31937
2021,gdcd,8.25,36362
2021,gdcd,8.5,40468
2021,gdcd,8.75,44942
2021,gdcd,9.0,47217
2021,gdcd,9.25,48676
2021,gdcd,9.5,46467
2021,gdcd,9.75,37116
2021,gdcd,10.0,17292
2022,gdcd,0.0,25
2022,gdcd,1.0,3
2022,gdcd,1.25,4
2022,gdcd,1.5,8
2022,gdcd,1.75,23
2022,gdcd,2.0,31
2022,gdcd,2.25,36
2022,gdcd,2.5,61
2022,gdcd,2.75,90
2022,gdcd,3.0,153
2022,gdcd,3.25,227
2022,gdcd,3.5,270
2022,gdcd,3.75,395
2022,gdcd,4.0,613
2022,gdcd,4.25,830
2022,gdcd,4.5,1216
2022,gdcd,4.75,1736
2022,gdcd,5.0,2417
2022,gdcd,5.25,3237
2022,gdcd,5.5,4531
2022,gdcd,5.75,6331
2022,gdcd,6.0,8240
2022,gdcd,6.25,11174
2022,gdcd,6.5,14814
2022,gdcd,6.75,19062
2022,gdcd,7.0,24029
2022,gdcd,7.25,30504
2022,gdcd,7.5,37262
2022,gdcd,7.75,44159
2022,gdcd,8.0,50854
2022,gdcd,8.25,55320
2022,gdcd,8.5,57508
2022,gdcd,8.75,55193
2022,gdcd,9.0,48229
2022,gdcd,9.25,37779
