nam_hoc,mon_hoc,diem,so_hoc_sinh
2023,hoa_hoc,0.0,3
2023,hoa_hoc,0.75,1
2023,hoa_hoc,1.0,10
2023,hoa_hoc,1.25,25
2023,hoa_hoc,1.5,78
2023,hoa_hoc,1.75,149
2023,hoa_hoc,2.0,280
2023,hoa_hoc,2.25,439
2023,hoa_hoc,2.5,721
2023,hoa_hoc,2.75,1064
2023,hoa_hoc,3.0,1663
2023,hoa_hoc,3.25,2229
2023,hoa_hoc,3.5,2981
2023,hoa_hoc,3.75,3722
2023,hoa_hoc,4.0,4750
2023,hoa_hoc,4.25,5738
2023,hoa_hoc,4.5,6699
2023,hoa_hoc,4.75,7824
2023,hoa_hoc,5.0,9071
2023,hoa_hoc,5.25,10056
2023,hoa_hoc,5.5,11680
2023,hoa_hoc,5.75,13427
2023,hoa_hoc,6.0,14936
2023,hoa_hoc,6.25,17076
2023,hoa_hoc,6.5,19137
2023,hoa_hoc,6.75,21434
2023,hoa_hoc,7.0,23451
2023,hoa_hoc,7.25,24895
2023,hoa_hoc,7.5,25487
2023,hoa_hoc,7.75,24708
2023,hoa_hoc,8.0,22206
2023,hoa_hoc,8.25,18181
2023,hoa_hoc,8.5,13589
2023,hoa_hoc,8.75,9170
2023,hoa_hoc,9.0,5622
2023,hoa_hoc,9.25,3276
2023,hoa_hoc,9.5,1610
2023,hoa_hoc,9.75,593
2023,hoa_hoc,10.0,137
2024,hoa_hoc,0.0,11
2024,hoa_hoc,0.25,2
2024,hoa_hoc,1.0,4
2024,hoa_hoc,1.25,21
2024,hoa_hoc,1.5,65
2024,hoa_hoc,1.75,152
2024,hoa_hoc,2.0,336
2024,hoa_hoc,2.25,547
2024,hoa_hoc,2.5,952
2024,hoa_hoc,2.75,1660
2024,hoa_hoc,3.0,2350
2024,hoa_hoc,3.25,3363
2024,hoa_hoc,3.5,4595
2024,hoa_hoc,3.75,5721
2024,hoa_hoc,4.0,6831
2024,hoa_hoc,4.25,8252
2024,hoa_hoc,4.5,9470
2024,hoa_hoc,4.75,10643
2024,hoa_hoc,5.0,11977
2024,hoa_hoc,5.25,12851
2024,hoa_hoc,5.5,13681
2024,hoa_hoc,5.75,14742
2024,hoa_hoc,6.0,15426
2024,hoa_hoc,6.25,16022
2024,hoa_hoc,6.5,16995
2024,hoa_hoc,6.75,17927
2024,hoa_hoc,7.0,18690
2024,hoa_hoc,7.25,19438
2024,hoa_hoc,7.5,20217
2024,hoa_hoc,7.75,20244
2024,hoa_hoc,8.0,19689
2024,hoa_hoc,8.25,18325
2024,hoa_hoc,8.5,15928
2024,hoa_hoc,8.75,13117
2024,hoa_hoc,9.0,10157
2024,hoa_hoc,9.25,7244
2024,hoa_hoc,9.5,4831
2024,hoa_hoc,9.75,2764
2024,hoa_hoc,10.0,1278
2025,hoa_hoc,0.0,3
2025,hoa_hoc,0.75,1
2025,hoa_hoc,0.85,2
2025,hoa_hoc,0.95,3
2025,hoa_hoc,1.0,3
2025,hoa_hoc,1.05,5
2025,hoa_hoc,1.1,2
2025,hoa_hoc,1.15,1
2025,hoa_hoc,1.2,10
2025,hoa_hoc,1.25,10
2025,hoa_hoc,1.3,9
2025,hoa_hoc,1.35,27
2025,hoa_hoc,1.4,3
2025,hoa_hoc,1.45,26
2025,hoa_hoc,1.5,14
2025,hoa_hoc,1.55,22
2025,hoa_hoc,1.6,63
2025,hoa_hoc,1.65,4
2025,hoa_hoc,1.7,64
2025,hoa_hoc,1.75,48
2025,hoa_hoc,1.8,38
2025,hoa_hoc,1.85,122
2025,hoa_hoc,1.9,4
2025,hoa_hoc,1.95,125
2025,hoa_hoc,2.0,129
2025,hoa_hoc,2.05,51
2025,hoa_hoc,2.1,303
2025,hoa_hoc,2.15,3
2025,hoa_hoc,2.2,249
2025,hoa_hoc,2.25,259
2025,hoa_hoc,2.3,62
2025,hoa_hoc,2.35,556
2025,hoa_hoc,2.4,4
2025,hoa_hoc,2.45,359
2025,hoa_hoc,2.5,497
2025,hoa_hoc,2.55,87
2025,hoa_hoc,2.6,938
2025,hoa_hoc,2.65,3
2025,hoa_hoc,2.7,524
2025,hoa_hoc,2.75,829
2025,hoa_hoc,2.8,119
2025,hoa_hoc,2.85,1237
2025,hoa_hoc,2.9,6
2025,hoa_hoc,2.95,693
2025,hoa_hoc,3.0,1237
2025,hoa_hoc,3.05,119
2025,hoa_hoc,3.1,1863
2025,hoa_hoc,3.15,3
2025,hoa_hoc,3.2,782
2025,hoa_hoc,3.25,1981
2025,hoa_hoc,3.3,101
2025,hoa_hoc,3.35,2356
2025,hoa_hoc,3.4,3
2025,hoa_hoc,3.45,875
2025,hoa_hoc,3.5,2565
2025,hoa_hoc,3.55,108
2025,hoa_hoc,3.6,2861
2025,hoa_hoc,3.65,5
2025,hoa_hoc,3.7,925
2025,hoa_hoc,3.75,3420
2025,hoa_hoc,3.8,98
2025,hoa_hoc,3.85,3251
2025,hoa_hoc,3.9,3
2025,hoa_hoc,3.95,975
2025,hoa_hoc,4.0,4291
2025,hoa_hoc,4.05,63
2025,hoa_hoc,4.1,3667
2025,hoa_hoc,4.15,1
2025,hoa_hoc,4.2,891
2025,hoa_hoc,4.25,5259
2025,hoa_hoc,4.3,50
2025,hoa_hoc,4.35,4000
2025,hoa_hoc,4.4,1
2025,hoa_hoc,4.45,743
