nam_hoc,mon_hoc,diem,so_hoc_sinh
2018,lich_su,0.0,537
2018,lich_su,0.25,10
2018,lich_su,0.5,36
2018,lich_su,0.75,140
2018,lich_su,1.0,563
2018,lich_su,1.25,1602
2018,lich_su,1.5,3946
2018,lich_su,1.75,8281
2018,lich_su,2.0,15133
2018,lich_su,2.25,24069
2018,lich_su,2.5,34073
2018,lich_su,2.75,42738
2018,lich_su,3.0,49387
2018,lich_su,3.25,52728
2018,lich_su,3.5,51886
2018,lich_su,3.75,48418
2018,lich_su,4.0,42947
2018,lich_su,4.25,37570
2018,lich_su,4.5,31378
2018,lich_su,4.75,25492
2018,lich_su,5.0,20585
2018,lich_su,5.25,16186
2018,lich_su,5.5,12620
2018,lich_su,5.75,9748
2018,lich_su,6.0,7751
2018,lich_su,6.25,5915
2018,lich_su,6.5,4762
2018,lich_su,6.75,3667
2018,lich_su,7.0,3044
2018,lich_su,7.25,2570
2018,lich_su,7.5,2017
2018,lich_su,7.75,1626
2018,lich_su,8.0,1344
2018,lich_su,8.25,1006
2018,lich_su,8.5,754
2018,lich_su,8.75,501
2018,lich_su,9.0,318
2018,lich_su,9.25,195
2018,lich_su,9.5,97
2018,lich_su,9.75,35
2018,lich_su,10.0,8
2019,lich_su,0.0,166
2019,lich_su,0.25,3
2019,lich_su,0.5,17
2019,lich_su,0.75,84
2019,lich_su,1.0,291
2019,lich_su,1.25,829
2019,lich_su,1.5,2237
2019,lich_su,1.75,4953
2019,lich_su,2.0,9237
2019,lich_su,2.25,15040
2019,lich_su,2.44,1
2019,lich_su,2.5,21554
2019,lich_su,2.75,29183
2019,lich_su,3.0,35660
2019,lich_su,3.25,39867
2019,lich_su,3.5,42735
2019,lich_su,3.75,43447
2019,lich_su,4.0,43204
2019,lich_su,4.25,40416
2019,lich_su,4.5,36996
2019,lich_su,4.75,33232
2019,lich_su,5.0,29411
2019,lich_su,5.25,25126
2019,lich_su,5.5,21159
2019,lich_su,5.75,17771
2019,lich_su,6.0,14743
2019,lich_su,6.25,12077
2019,lich_su,6.5,9715
2019,lich_su,6.75,8172
2019,lich_su,7.0,6599
2019,lich_su,7.25,5424
2019,lich_su,7.5,4488
2019,lich_su,7.75,3724
2019,lich_su,8.0,3154
2019,lich_su,8.25,2553
2019,lich_su,8.5,2129
2019,lich_su,8.75,1598
2019,lich_su,9.0,1239
2019,lich_su,9.25,928
2019,lich_su,9.5,545
2019,lich_su,9.75,246
2019,lich_su,10.0,80
2020,lich_su,0.0,18
2020,lich_su,0.25,1
2020,lich_su,0.5,6
2020,lich_su,0.75,29
2020,lich_su,1.0,71
2020,lich_su,1.25,275
2020,lich_su,1.5,619
2020,lich_su,1.75,1306
2020,lich_su,2.0,2523
2020,lich_su,2.25,4604
2020,lich_su,2.5,7572
2020,lich_su,2.75,11495
2020,lich_su,3.0,16185
2020,lich_su,3.25,21202
2020,lich_su,3.5,26216
2020,lich_su,3.75,30809
2020,lich_su,4.0,34518
2020,lich_su,4.25,36356
2020,lich_su,4.5,37571
2020,lich_su,4.75,37158
2020,lich_su,5.0,35543
2020,lich_su,5.25,33453
2020,lich_su,5.5,30979
2020,lich_su,5.75,28008
2020,lich_su,6.0,25270
2020,lich_su,6.25,22263
2020,lich_su,6.5,19735
2020,lich_su,6.75,17100
2020,lich_su,7.0,14782
2020,lich_su,7.25,12752
2020,lich_su,7.5,11026
2020,lich_su,7.75,9433
2020,lich_su,8.0,8408
2020,lich_su,8.25,7111
2020,lich_su,8.5,6249
2020,lich_su,8.75,5585
2020,lich_su,9.0,4773
2020,lich_su,9.25,3715
2020,lich_su,9.5,2339
2020,lich_su,9.75,1143
2020,lich_su,10.0,380
2021,lich_su,0.0,4
2021,lich_su,0.25,7
2021,lich_su,0.5,20
2021,lich_su,0.75,119
2021,lich_su,1.0,329
2021,lich_su,1.25,851
2021,lich_su,1.5,2123
2021,lich_su,1.75,3963
2021,lich_su,2.0,7367
2021,lich_su,2.25,11485
2021,lich_su,2.5,16222
2021,lich_su,2.75,20927
2021,lich_su,3.0,25698
2021,lich_su,3.25,28341
2021,lich_su,3.5,30360
2021,lich_su,3.75,31124
2021,lich_su,4.0,31392
2021,lich_su,4.25,31457
2021,lich_su,4.5,30355
2021,lich_su,4.75,29328
2021,lich_su,5.0,28237
2021,lich_su,5.25,27121
2021,lich_su,5.5,25543
2021,lich_su,5.75,24345
2021,lich_su,6.0,22454
2021,lich_su,6.25,21075
2021,lich_su,6.5,19198
2021,lich_su,6.75,17585
2021,lich_su,7.0,15841
2021,lich_su,7.25,13987
2021,lich_su,7.5,12771
2021,lich_su,7.75,11299
2021,lich_su,8.0,9589
2021,lich_su,8.25,8346
2021,lich_su,8.5,6981
2021,lich_su,8.75,5763
2021,lich_su,9.0,4494
2021,lich_su,9.25,3158
2021,lich_su,9.5,1859
2021,lich_su,9.75,853
2021,lich_su,10.0,246
2022,lich_su,0.0,2
2022,lich_su,0.25,4
2022,lich_su,0.5,2
2022,lich_su,0.75,14
2022,lich_su,1.0,58
2022,lich_su,1.25,108
2022,lich_su,1.5,259
2022,lich_su,1.75,579
2022,lich_su,2.0,1154
2022,lich_su,2.25,1929
2022,lich_su,2.5,3235
2022,lich_su,2.75,4690
2022,lich_su,3.0,6456
2022,lich_su,3.25,8329
2022,lich_su,3.5,10685
2022,lich_su,3.75,12913
2022,lich_su,4.0,15610
2022,lich_su,4.25,17953
2022,lich_su,4.5,20593
2022,lich_su,4.75,22979
2022,lich_su,5.0,25896
2022,lich_su,5.25,28554
2022,lich_su,5.5,30961
2022,lich_su,5.75,33304
2022,lich_su,6.0,35161
2022,lich_su,6.25,36931
2022,lich_su,6.5,38602
2022,lich_su,6.75,38565
2022,lich_su,7.0,38718
2022,lich_su,7.25,37785
2022,lich_su,7.5,35358
2022,lich_su,7.75,32674
2022,lich_su,8.0,28576
2022,lich_su,8.25,24257
2022,lich_su,8.5,19968
2022,lich_su,8.75,15598
2022,lich_su,9.0,11742
2022,lich_su,9.25,8343
2022,lich_su,9.5,5572
2022,lich_su,9.75,3766
2022,lich_su,10.0,1779
2023,lich_su,0.0,5
2023,lich_su,0.25,2
2023,lich_su,0.5,2
2023,lich_su,0.75,4
2023,lich_su,1.0,25
2023,lich_su,1.25,79
2023,lich_su,1.5,153
2023,lich_su,1.75,373
2023,lich_su,2.0,769
2023,lich_su,2.25,1516
2023,lich_su,2.5,2630
2023,lich_su,2.75,4257
2023,lich_su,3.0,6693
2023,lich_su,3.25,9785
2023,lich_su,3.5,13436
2023,lich_su,3.75,17448
2023,lich_su,4.0,22203
2023,lich_su,4.25,26527
2023,lich_su,4.5,30462
2023,lich_su,4.75,33868
2023,lich_su,5.0,36301
2023,lich_su,5.25,37987
2023,lich_su,5.5,38921
2023,lich_su,5.75,39085
2023,lich_su,6.0,38903
2023,lich_su,6.25,38519
2023,lich_su,6.5,37167
2023,lich_su,6.75,35826
2023,lich_su,7.0,33971
2023,lich_su,7.25,31691
2023,lich_su,7.5,29288
2023,lich_su,7.75,26220
2023,lich_su,8.0,22820
2023,lich_su,8.25,18967
2023,lich_su,8.5,15018
2023,lich_su,8.75,11590
2023,lich_su,9.0,8267
2023,lich_su,9.25,5776
2023,lich_su,9.5,3827
2023,lich_su,9.75,2277
2023,lich_su,10.0,789
2024,lich_su,0.0,6
2024,lich_su,0.5,2
2024,lich_su,0.75,4
2024,lich_su,1.0,8
2024,lich_su,1.25,32
2024,lich_su,1.5,55
