nam_hoc,mon_hoc,diem,so_hoc_sinh
2023,ngoai_ngu,0.0,6
2023,ngoai_ngu,0.2,1
2023,ngoai_ngu,0.6,12
2023,ngoai_ngu,0.8,38
2023,ngoai_ngu,1.0,135
2023,ngoai_ngu,1.2,363
2023,ngoai_ngu,1.4,1024
2023,ngoai_ngu,1.6,1968
2023,ngoai_ngu,1.8,3422
2023,ngoai_ngu,2.0,5874
2023,ngoai_ngu,2.2,8754
2023,ngoai_ngu,2.4,12449
2023,ngoai_ngu,2.6,16646
2023,ngoai_ngu,2.8,20794
2023,ngoai_ngu,3.0,24284
2023,ngoai_ngu,3.2,27456
2023,ngoai_ngu,3.4,30158
2023,ngoai_ngu,3.6,32472
2023,ngoai_ngu,3.8,34005
2023,ngoai_ngu,4.0,34469
2023,ngoai_ngu,4.2,35525
2023,ngoai_ngu,4.4,35085
2023,ngoai_ngu,4.6,34927
2023,ngoai_ngu,4.8,33826
2023,ngoai_ngu,5.0,32945
2023,ngoai_ngu,5.2,31195
2023,ngoai_ngu,5.4,29592
2023,ngoai_ngu,5.6,28010
2023,ngoai_ngu,5.8,26636
2023,ngoai_ngu,6.0,24870
2023,ngoai_ngu,6.2,23748
2023,ngoai_ngu,6.4,22229
2023,ngoai_ngu,6.6,21334
2023,ngoai_ngu,6.8,20413
2023,ngoai_ngu,7.0,19288
2023,ngoai_ngu,7.2,19131
2023,ngoai_ngu,7.4,18288
2023,ngoai_ngu,7.6,18102
2023,ngoai_ngu,7.8,17749
2023,ngoai_ngu,8.0,17401
2023,ngoai_ngu,8.2,17705
2023,ngoai_ngu,8.4,17211
2023,ngoai_ngu,8.6,17341
2023,ngoai_ngu,8.8,16744
2023,ngoai_ngu,9.0,15477
2023,ngoai_ngu,9.2,13482
2023,ngoai_ngu,9.4,9857
2023,ngoai_ngu,9.6,5648
2023,ngoai_ngu,9.8,2353
2023,ngoai_ngu,10.0,555
2024,ngoai_ngu,0.0,3
2024,ngoai_ngu,0.4,1
2024,ngoai_ngu,0.6,8
2024,ngoai_ngu,0.8,31
2024,ngoai_ngu,1.0,91
2024,ngoai_ngu,1.2,273
2024,ngoai_ngu,1.4,738
2024,ngoai_ngu,1.6,1535
2024,ngoai_ngu,1.8,2739
2024,ngoai_ngu,2.0,4767
2024,ngoai_ngu,2.2,7225
2024,ngoai_ngu,2.4,10179
2024,ngoai_ngu,2.6,13784
2024,ngoai_ngu,2.8,17394
2024,ngoai_ngu,3.0,20952
2024,ngoai_ngu,3.2,24610
2024,ngoai_ngu,3.4,27706
2024,ngoai_ngu,3.6,30801
2024,ngoai_ngu,3.8,33201
2024,ngoai_ngu,4.0,35801
2024,ngoai_ngu,4.2,37823
2024,ngoai_ngu,4.4,39337
2024,ngoai_ngu,4.6,39561
2024,ngoai_ngu,4.8,39376
2024,ngoai_ngu,5.0,38371
2024,ngoai_ngu,5.2,36547
2024,ngoai_ngu,5.4,34535
2024,ngoai_ngu,5.6,32143
2024,ngoai_ngu,5.8,30038
2024,ngoai_ngu,6.0,27884
2024,ngoai_ngu,6.2,25754
2024,ngoai_ngu,6.4,23934
2024,ngoai_ngu,6.6,22251
2024,ngoai_ngu,6.8,21387
2024,ngoai_ngu,7.0,20365
2024,ngoai_ngu,7.2,19900
2024,ngoai_ngu,7.4,19248
2024,ngoai_ngu,7.6,19471
2024,ngoai_ngu,7.8,19458
2024,ngoai_ngu,8.0,19717
2024,ngoai_ngu,8.2,19519
