nam_hoc,mon_hoc,diem,so_hoc_sinh
2023,ngu_van,0.0,24
2023,ngu_van,0.25,8
2023,ngu_van,0.5,19
2023,ngu_van,0.75,29
2023,ngu_van,1.0,12
2023,ngu_van,1.25,236
2023,ngu_van,1.5,322
2023,ngu_van,1.75,359
2023,ngu_van,1.91,1
2023,ngu_van,2.0,701
2023,ngu_van,2.25,896
2023,ngu_van,2.33,1
2023,ngu_van,2.42,1
2023,ngu_van,2.5,1262
2023,ngu_van,2.58,2
2023,ngu_van,2.66,1
2023,ngu_van,2.67,2
2023,ngu_van,2.75,1717
2023,ngu_van,2.8,1
2023,ngu_van,2.83,4
2023,ngu_van,2.92,1
2023,ngu_van,3.0,2707
2023,ngu_van,3.08,4
2023,ngu_van,3.13,1
2023,ngu_van,3.14,1
2023,ngu_van,3.17,3
2023,ngu_van,3.25,3376
2023,ngu_van,3.33,6
2023,ngu_van,3.41,2
2023,ngu_van,3.42,3
2023,ngu_van,3.5,5131
2023,ngu_van,3.58,7
2023,ngu_van,3.63,1
2023,ngu_van,3.66,1
2023,ngu_van,3.67,6
2023,ngu_van,3.75,6455
2023,ngu_van,3.83,16
2023,ngu_van,3.91,2
2023,ngu_van,3.92,14
2023,ngu_van,4.0,9353
2023,ngu_van,4.08,20
2023,ngu_van,4.1,1
2023,ngu_van,4.16,2
2023,ngu_van,4.17,21
2023,ngu_van,4.2,1
2023,ngu_van,4.24,1
2023,ngu_van,4.25,10887
2023,ngu_van,4.3,3
2023,ngu_van,4.33,20
2023,ngu_van,4.41,2
2023,ngu_van,4.42,20
2023,ngu_van,4.5,14848
2023,ngu_van,4.55,2
2023,ngu_van,4.58,28
2023,ngu_van,4.59,1
2023,ngu_van,4.6,2
2023,ngu_van,4.66,7
2023,ngu_van,4.67,17
2023,ngu_van,4.7,4
2023,ngu_van,4.74,1
2023,ngu_van,4.75,14991
2023,ngu_van,4.8,2
2023,ngu_van,4.83,52
2023,ngu_van,4.87,1
2023,ngu_van,4.9,1
2023,ngu_van,4.91,4
2023,ngu_van,4.92,27
2023,ngu_van,4.93,2
2023,ngu_van,5.0,30270
2023,ngu_van,5.08,50
2023,ngu_van,5.1,1
2023,ngu_van,5.12,1
2023,ngu_van,5.15,1
2023,ngu_van,5.16,11
2023,ngu_van,5.17,42
2023,ngu_van,5.18,1
2023,ngu_van,5.2,4
2023,ngu_van,5.25,29328
2023,ngu_van,5.3,5
2023,ngu_van,5.33,83
2023,ngu_van,5.4,1
2023,ngu_van,5.41,20
2023,ngu_van,5.42,63
2023,ngu_van,5.5,39931
2023,ngu_van,5.55,2
2023,ngu_van,5.58,97
2023,ngu_van,5.59,1
2023,ngu_van,5.6,7
2023,ngu_van,5.63,1
2023,ngu_van,5.66,18
2023,ngu_van,5.67,84
2023,ngu_van,5.7,4
2023,ngu_van,5.71,1
2023,ngu_van,5.75,44093
2023,ngu_van,5.8,6
2023,ngu_van,5.81,1
2023,ngu_van,5.83,112
2023,ngu_van,5.85,1
2023,ngu_van,5.9,2
2023,ngu_van,5.91,24
2023,ngu_van,5.92,90
2023,ngu_van,6.0,59104
2023,ngu_van,6.01,1
2023,ngu_van,6.02,1
2023,ngu_van,6.05,2
2023,ngu_van,6.07,1
2023,ngu_van,6.08,150
2023,ngu_van,6.1,8
2023,ngu_van,6.15,2
2023,ngu_van,6.16,23
2023,ngu_van,6.17,142
2023,ngu_van,6.2,6
2023,ngu_van,6.21,1
2023,ngu_van,6.24,1
2023,ngu_van,6.25,59235
2023,ngu_van,6.3,13
2023,ngu_van,6.32,1
2023,ngu_van,6.33,172
2023,ngu_van,6.35,1
2023,ngu_van,6.4,6
2023,ngu_van,6.41,32
2023,ngu_van,6.42,151
2023,ngu_van,6.43,3
2023,ngu_van,6.46,1
2023,ngu_van,6.48,1
2023,ngu_van,6.5,71760
2023,ngu_van,6.51,1
2023,ngu_van,6.54,1
2023,ngu_van,6.58,170
2023,ngu_van,6.59,1
2023,ngu_van,6.6,5
2023,ngu_van,6.66,23
2023,ngu_van,6.67,157
2023,ngu_van,6.68,3
2023,ngu_van,6.7,5
2023,ngu_van,6.73,2
2023,ngu_van,6.75,68492
2023,ngu_van,6.8,6
2023,ngu_van,6.81,1
2023,ngu_van,6.82,1
2023,ngu_van,6.83,204
2023,ngu_van,6.84,1
2023,ngu_van,6.85,1
2023,ngu_van,6.9,6
2023,ngu_van,6.91,30
2023,ngu_van,6.92,157
2023,ngu_van,7.0,78772
2023,ngu_van,7.02,1
2023,ngu_van,7.03,2
2023,ngu_van,7.05,1
2023,ngu_van,7.06,1
2023,ngu_van,7.08,165
2023,ngu_van,7.1,7
2023,ngu_van,7.12,1
2023,ngu_van,7.15,1
2023,ngu_van,7.16,29
2023,ngu_van,7.17,176
2023,ngu_van,7.18,2
2023,ngu_van,7.2,4
2023,ngu_van,7.22,1
2023,ngu_van,7.24,1
2023,ngu_van,7.25,66956
2023,ngu_van,7.26,1
2023,ngu_van,7.3,13
2023,ngu_van,7.31,2
2023,ngu_van,7.33,175
2023,ngu_van,7.35,2
2023,ngu_van,7.4,2
2023,ngu_van,7.41,16
2023,ngu_van,7.42,127
2023,ngu_van,7.45,1
2023,ngu_van,7.5,73541
2023,ngu_van,7.52,1
2023,ngu_van,7.55,2
2023,ngu_van,7.56,1
2023,ngu_van,7.58,139
2023,ngu_van,7.59,1
2023,ngu_van,7.6,3
2023,ngu_van,7.66,22
2023,ngu_van,7.67,109
2023,ngu_van,7.7,2
2023,ngu_van,7.75,63440
2023,ngu_van,7.8,5
2023,ngu_van,7.83,101
2023,ngu_van,7.9,4
2023,ngu_van,7.91,8
2023,ngu_van,7.92,69
2023,ngu_van,7.95,1
2023,ngu_van,8.0,67519
2023,ngu_van,8.08,61
2023,ngu_van,8.1,2
2023,ngu_van,8.16,4
2023,ngu_van,8.17,39
2023,ngu_van,8.2,4
2023,ngu_van,8.25,50780
2023,ngu_van,8.3,1
2023,ngu_van,8.33,36
2023,ngu_van,8.41,8
2023,ngu_van,8.42,23
2023,ngu_van,8.5,48830
2023,ngu_van,8.58,13
2023,ngu_van,8.63,1
2023,ngu_van,8.66,2
2023,ngu_van,8.67,9
2023,ngu_van,8.75,35512
2023,ngu_van,8.8,1
2023,ngu_van,8.83,2
2023,ngu_van,8.91,1
2023,ngu_van,8.92,2
2023,ngu_van,9.0,26203
2023,ngu_van,9.08,3
2023,ngu_van,9.25,12073
2023,ngu_van,9.5,4661
2023,ngu_van,9.75,443
2023,ngu_van,10.0,1
2024,ngu_van,0.0,20
2024,ngu_van,0.25,10
2024,ngu_van,0.5,11
2024,ngu_van,0.75,11
