nam_hoc,mon_hoc,diem,so_hoc_sinh
2018,sinh_hoc,0.0,333
2018,sinh_hoc,0.25,1
2018,sinh_hoc,0.5,6
2018,sinh_hoc,0.75,32
2018,sinh_hoc,1.0,84
2018,sinh_hoc,1.25,240
2018,sinh_hoc,1.5,601
2018,sinh_hoc,1.75,1259
2018,sinh_hoc,2.0,2770
2018,sinh_hoc,2.25,4666
2018,sinh_hoc,2.5,7704
2018,sinh_hoc,2.75,11425
2018,sinh_hoc,3.0,15708
2018,sinh_hoc,3.25,20453
2018,sinh_hoc,3.5,24849
2018,sinh_hoc,3.75,28420
2018,sinh_hoc,4.0,30725
2018,sinh_hoc,4.25,32277
2018,sinh_hoc,4.5,31584
2018,sinh_hoc,4.75,29742
2018,sinh_hoc,5.0,26910
2018,sinh_hoc,5.25,23741
2018,sinh_hoc,5.5,19930
2018,sinh_hoc,5.75,16302
2018,sinh_hoc,6.0,12815
2018,sinh_hoc,6.25,10022
2018,sinh_hoc,6.5,7742
2018,sinh_hoc,6.75,6017
2018,sinh_hoc,7.0,4677
2018,sinh_hoc,7.25,3643
2018,sinh_hoc,7.5,2846
2018,sinh_hoc,7.75,2167
2018,sinh_hoc,8.0,1492
2018,sinh_hoc,8.25,970
2018,sinh_hoc,8.5,598
2018,sinh_hoc,8.75,361
2018,sinh_hoc,9.0,173
2018,sinh_hoc,9.25,67
2018,sinh_hoc,9.5,29
2018,sinh_hoc,9.75,7
2018,sinh_hoc,10.0,2
2019,sinh_hoc,0.0,53
2019,sinh_hoc,0.25,2
2019,sinh_hoc,0.5,9
2019,sinh_hoc,0.75,17
2019,sinh_hoc,1.0,70
2019,sinh_hoc,1.25,191
2019,sinh_hoc,1.5,455
2019,sinh_hoc,1.75,946
2019,sinh_hoc,2.0,1781
2019,sinh_hoc,2.25,2972
2019,sinh_hoc,2.5,4935
2019,sinh_hoc,2.75,7311
2019,sinh_hoc,3.0,10531
2019,sinh_hoc,3.25,14232
2019,sinh_hoc,3.5,18148
2019,sinh_hoc,3.75,22545
2019,sinh_hoc,4.0,26169
2019,sinh_hoc,4.25,29053
2019,sinh_hoc,4.5,30276
2019,sinh_hoc,4.75,29622
2019,sinh_hoc,5.0,27251
2019,sinh_hoc,5.25,23612
2019,sinh_hoc,5.5,19670
2019,sinh_hoc,5.75,15461
2019,sinh_hoc,6.0,11964
2019,sinh_hoc,6.25,8641
2019,sinh_hoc,6.5,6402
2019,sinh_hoc,6.75,4703
2019,sinh_hoc,7.0,3483
2019,sinh_hoc,7.25,2850
2019,sinh_hoc,7.5,2316
2019,sinh_hoc,7.75,1893
2019,sinh_hoc,8.0,1670
2019,sinh_hoc,8.25,1333
2019,sinh_hoc,8.5,1072
2019,sinh_hoc,8.75,806
2019,sinh_hoc,9.0,574
2019,sinh_hoc,9.25,406
2019,sinh_hoc,9.5,256
2019,sinh_hoc,9.75,134
2019,sinh_hoc,10.0,39
2020,sinh_hoc,0.0,23
2020,sinh_hoc,0.25,2
2020,sinh_hoc,0.5,3
2020,sinh_hoc,0.75,3
2020,sinh_hoc,1.0,13
2020,sinh_hoc,1.25,40
2020,sinh_hoc,1.5,100
2020,sinh_hoc,1.75,218
2020,sinh_hoc,2.0,373
2020,sinh_hoc,2.25,706
2020,sinh_hoc,2.5,1223
2020,sinh_hoc,2.75,2072
2020,sinh_hoc,3.0,3185
2020,sinh_hoc,3.25,4635
2020,sinh_hoc,3.5,6330
2020,sinh_hoc,3.75,8816
2020,sinh_hoc,4.0,11381
2020,sinh_hoc,4.25,14020
2020,sinh_hoc,4.5,16430
2020,sinh_hoc,4.75,18770
2020,sinh_hoc,5.0,20843
2020,sinh_hoc,5.25,21936
2020,sinh_hoc,5.5,21866
2020,sinh_hoc,5.75,21362
2020,sinh_hoc,6.0,20413
2020,sinh_hoc,6.25,18462
2020,sinh_hoc,6.5,16023
2020,sinh_hoc,6.75,13727
2020,sinh_hoc,7.0,10975
2020,sinh_hoc,7.25,8784
2020,sinh_hoc,7.5,6674
2020,sinh_hoc,7.75,5040
2020,sinh_hoc,8.0,4046
2020,sinh_hoc,8.25,3173
2020,sinh_hoc,8.5,2600
2020,sinh_hoc,8.75,2065
2020,sinh_hoc,9.0,1683
2020,sinh_hoc,9.25,1197
2020,sinh_hoc,9.5,711
2020,sinh_hoc,9.75,332
2020,sinh_hoc,10.0,122
2021,sinh_hoc,0.0,22
2021,sinh_hoc,0.25,1
2021,sinh_hoc,0.5,1
2021,sinh_hoc,0.75,11
2021,sinh_hoc,1.0,34
2021,sinh_hoc,1.25,100
2021,sinh_hoc,1.5,165
2021,sinh_hoc,1.75,337
2021,sinh_hoc,2.0,586
2021,sinh_hoc,2.25,1204
2021,sinh_hoc,2.5,1801
2021,sinh_hoc,2.75,2797
2021,sinh_hoc,3.0,4159
2021,sinh_hoc,3.25,5995
2021,sinh_hoc,3.5,8311
2021,sinh_hoc,3.75,11462
2021,sinh_hoc,4.0,14305
2021,sinh_hoc,4.25,17097
2021,sinh_hoc,4.5,20113
2021,sinh_hoc,4.75,22012
2021,sinh_hoc,5.0,23542
2021,sinh_hoc,5.25,23698
2021,sinh_hoc,5.5,23128
2021,sinh_hoc,5.75,21360
2021,sinh_hoc,6.0,19731
2021,sinh_hoc,6.25,17320
2021,sinh_hoc,6.5,15160
2021,sinh_hoc,6.75,12817
2021,sinh_hoc,7.0,10751
2021,sinh_hoc,7.25,8905
2021,sinh_hoc,7.5,7439
2021,sinh_hoc,7.75,6104
2021,sinh_hoc,8.0,4839
2021,sinh_hoc,8.25,3865
2021,sinh_hoc,8.5,3147
2021,sinh_hoc,8.75,2535
2021,sinh_hoc,9.0,1997
2021,sinh_hoc,9.25,1604
2021,sinh_hoc,9.5,1305
2021,sinh_hoc,9.75,996
2021,sinh_hoc,10.0,531
