nam_hoc,mon_hoc,diem,so_hoc_sinh
2025,tin_hoc,1.35,1
2025,tin_hoc,1.85,2
2025,tin_hoc,2.0,1
2025,tin_hoc,2.25,2
2025,tin_hoc,2.3,1
2025,tin_hoc,2.35,1
2025,tin_hoc,2.5,4
2025,tin_hoc,2.6,1
2025,tin_hoc,2.7,3
2025,tin_hoc,2.75,3
2025,tin_hoc,2.8,1
2025,tin_hoc,2.85,6
2025,tin_hoc,2.95,2
2025,tin_hoc,3.0,3
2025,tin_hoc,3.05,1
2025,tin_hoc,3.1,9
2025,tin_hoc,3.2,6
2025,tin_hoc,3.25,13
2025,tin_hoc,3.35,23
2025,tin_hoc,3.45,4
2025,tin_hoc,3.5,18
2025,tin_hoc,3.55,2
2025,tin_hoc,3.6,12
2025,tin_hoc,3.7,12
2025,tin_hoc,3.75,24
2025,tin_hoc,3.8,2
2025,tin_hoc,3.85,37
2025,tin_hoc,3.95,16
2025,tin_hoc,4.0,44
2025,tin_hoc,4.05,4
2025,tin_hoc,4.1,56
2025,tin_hoc,4.2,15
2025,tin_hoc,4.25,63
2025,tin_hoc,4.3,1
2025,tin_hoc,4.35,51
2025,tin_hoc,4.45,13
2025,tin_hoc,4.5,81
2025,tin_hoc,4.6,85
2025,tin_hoc,4.7,20
2025,tin_hoc,4.75,106
2025,tin_hoc,4.8,1
2025,tin_hoc,4.85,87
2025,tin_hoc,4.95,16
2025,tin_hoc,5.0,147
2025,tin_hoc,5.05,1
2025,tin_hoc,5.1,117
2025,tin_hoc,5.2,13
2025,tin_hoc,5.25,164
2025,tin_hoc,5.35,120
2025,tin_hoc,5.45,18
2025,tin_hoc,5.5,230
2025,tin_hoc,5.6,104
2025,tin_hoc,5.7,18
2025,tin_hoc,5.75,271
2025,tin_hoc,5.8,2
2025,tin_hoc,5.85,117
2025,tin_hoc,5.95,15
2025,tin_hoc,6.0,270
2025,tin_hoc,6.1,151
2025,tin_hoc,6.2,7
2025,tin_hoc,6.25,303
2025,tin_hoc,6.35,124
2025,tin_hoc,6.45,6
2025,tin_hoc,6.5,311
2025,tin_hoc,6.6,146
2025,tin_hoc,6.7,8
2025,tin_hoc,6.75,345
2025,tin_hoc,6.85,122
2025,tin_hoc,6.95,3
2025,tin_hoc,7.0,379
2025,tin_hoc,7.1,97
2025,tin_hoc,7.2,3
2025,tin_hoc,7.25,376
2025,tin_hoc,7.35,82
2025,tin_hoc,7.45,4
2025,tin_hoc,7.5,343
2025,tin_hoc,7.6,37
2025,tin_hoc,7.7,2
2025,tin_hoc,7.75,357
2025,tin_hoc,7.85,51
2025,tin_hoc,8.0,362
2025,tin_hoc,8.1,33
2025,tin_hoc,8.25,323
2025,tin_hoc,8.35,12
2025,tin_hoc,8.5,262
2025,tin_hoc,8.6,17
2025,tin_hoc,8.75,228
2025,tin_hoc,8.85,4
2025,tin_hoc,9.0,202
2025,tin_hoc,9.1,2
2025,tin_hoc,9.25,176
2025,tin_hoc,9.5,110
2025,tin_hoc,9.75,94
2025,tin_hoc,10.0,60
