nam_hoc,mon_hoc,diem,so_hoc_sinh
2023,toan,0.0,2
2023,toan,0.2,1
2023,toan,0.4,2
2023,toan,0.6,4
2023,toan,0.8,32
2023,toan,1.0,82
2023,toan,1.2,248
2023,toan,1.4,539
2023,toan,1.6,1055
2023,toan,1.8,1928
2023,toan,2.0,3084
2023,toan,2.2,4498
2023,toan,2.4,6266
2023,toan,2.6,8310
2023,toan,2.8,10049
2023,toan,3.0,11499
2023,toan,3.2,13224
2023,toan,3.4,14581
2023,toan,3.6,15839
2023,toan,3.8,17023
2023,toan,4.0,18705
2023,toan,4.2,20121
2023,toan,4.4,21769
2023,toan,4.6,23146
2023,toan,4.8,25087
2023,toan,5.0,26667
2023,toan,5.2,28490
2023,toan,5.4,30648
2023,toan,5.6,32351
2023,toan,5.8,34652
2023,toan,6.0,37100
2023,toan,6.2,39299
2023,toan,6.4,41586
2023,toan,6.6,44705
2023,toan,6.8,47231
2023,toan,7.0,51245
2023,toan,7.2,54069
2023,toan,7.4,56130
2023,toan,7.6,56640
2023,toan,7.8,53308
2023,toan,8.0,47380
2023,toan,8.2,37744
2023,toan,8.4,27537
2023,toan,8.6,18534
2023,toan,8.8,10923
2023,toan,9.0,5850
2023,toan,9.2,2672
2023,toan,9.4,1080
2023,toan,9.6,337
2023,toan,9.8,89
2023,toan,10.0,12
2024,toan,0.0,1
2024,toan,0.4,1
2024,toan,0.6,5
2024,toan,0.8,12
2024,toan,1.0,43
2024,toan,1.2,126
2024,toan,1.4,278
2024,toan,1.6,619
2024,toan,1.8,1156
2024,toan,2.0,1975
2024,toan,2.2,2935
2024,toan,2.4,4279
2024,toan,2.6,5681
2024,toan,2.8,7304
2024,toan,3.0,8593
2024,toan,3.2,10076
2024,toan,3.4,11770
2024,toan,3.6,13026
2024,toan,3.8,14851
2024,toan,4.0,16457
2024,toan,4.2,17680
2024,toan,4.4,19896
2024,toan,4.6,21858
2024,toan,4.8,24293
2024,toan,5.0,26556
2024,toan,5.2,28625
2024,toan,5.4,31311
2024,toan,5.6,34540
2024,toan,5.8,37438
2024,toan,6.0,40255
2024,toan,6.2,43553
2024,toan,6.4,46501
2024,toan,6.6,49309
2024,toan,6.8,51589
2024,toan,7.0,53000
2024,toan,7.2,54349
2024,toan,7.4,55273
2024,toan,7.6,56017
2024,toan,7.8,55990
2024,toan,8.0,54182
2024,toan,8.2,48784
2024,toan,8.4,39796
2024,toan,8.6,27884
2024,toan,8.8,16048
2024,toan,9.0,7573
2024,toan,9.2,2899
2024,toan,9.4,962
2024,toan,9.6,221
2024,toan,9.8,43
2025,toan,0.0,7
2025,toan,0.1,1
2025,toan,0.35,2
2025,toan,0.4,4
2025,toan,0.45,10
2025,toan,0.5,1
2025,toan,0.55,18
2025,toan,0.6,19
2025,toan,0.65,6
2025,toan,0.7,84
2025,toan,0.75,13
2025,toan,0.8,70
2025,toan,0.85,115
2025,toan,0.9,17
2025,toan,0.95,326
2025,toan,1.0,101
2025,toan,1.05,203
2025,toan,1.1,539
2025,toan,1.15,28
2025,toan,1.2,924
2025,toan,1.25,287
2025,toan,1.3,400
2025,toan,1.35,1881
2025,toan,1.4,71
2025,toan,1.45,1966
2025,toan,1.5,919
2025,toan,1.55,629
2025,toan,1.6,4286
2025,toan,1.65,37
2025,toan,1.7,2963
2025,toan,1.75,2219
2025,toan,1.8,877
2025,toan,1.85,7352
2025,toan,1.9,60
2025,toan,1.95,4150
2025,toan,2.0,4216
2025,toan,2.05,849
2025,toan,2.1,10834
2025,toan,2.15,41
2025,toan,2.2,5323
2025,toan,2.25,6904
2025,toan,2.3,781
2025,toan,2.35,14492
2025,toan,2.4,200
2025,toan,2.45,5651
2025,toan,2.5,9947
2025,toan,2.55,754
2025,toan,2.6,17379
2025,toan,2.65,17
2025,toan,2.7,5882
2025,toan,2.75,13995
2025,toan,2.8,852
2025,toan,2.85,19804
2025,toan,2.9,10
2025,toan,2.95,5836
2025,toan,3.0,19289
2025,toan,3.05,477
2025,toan,3.1,22040
2025,toan,3.15,3
2025,toan,3.2,5360
2025,toan,3.25,24267
2025,toan,3.3,287
2025,toan,3.35,23017
2025,toan,3.4,174
2025,toan,3.45,4831
2025,toan,3.5,30233
2025,toan,3.55,199
2025,toan,3.6,23716
2025,toan,3.7,4025
2025,toan,3.75,35226
2025,toan,3.8,254
2025,toan,3.85,23600
2025,toan,3.95,3372
2025,toan,4.0,39362
2025,toan,4.05,45
2025,toan,4.1,22902
2025,toan,4.2,2744
2025,toan,4.25,43326
2025,toan,4.3,13
2025,toan,4.35,21396
2025,toan,4.4,143
2025,toan,4.45,1879
2025,toan,4.5,45988
2025,toan,4.55,9
2025,toan,4.6,19385
2025,toan,4.7,1315
2025,toan,4.75,46380
2025,toan,4.8,147
2025,toan,4.85,16790
2025,toan,4.95,1082
2025,toan,5.0,45750
2025,toan,5.1,14692
2025,toan,5.2,930
2025,toan,5.25,44053
2025,toan,5.35,12629
2025,toan,5.4,175
2025,toan,5.45,348
2025,toan,5.5,41900
2025,toan,5.6,9892
2025,toan,5.7,350
2025,toan,5.75,37803
2025,toan,5.8,194
2025,toan,5.85,7948
2025,toan,5.95,82
2025,toan,6.0,35477
2025,toan,6.1,6620
2025,toan,6.2,354
2025,toan,6.25,33041
2025,toan,6.35,3778
2025,toan,6.4,302
2025,toan,6.45,12
2025,toan,6.5,27830
2025,toan,6.6,4375
2025,toan,6.7,22
2025,toan,6.75,25579
2025,toan,6.8,399
2025,toan,6.85,1216
2025,toan,7.0,24271
2025,toan,7.1,1868
2025,toan,7.2,554
2025,toan,7.25,17303
2025,toan,7.35,248
2025,toan,7.4,680
2025,toan,7.5,22726
2025,toan,7.6,1403
2025,toan,7.75,9643
2025,toan,7.8,869
2025,toan,7.85,36
2025,toan,8.0,21869
2025,toan,8.1,182
2025,toan,8.2,763
2025,toan,8.25,4695
2025,toan,8.35,3
2025,toan,8.4,575
2025,toan,8.5,17448
2025,toan,8.6,406
2025,toan,8.75,1865
2025,toan,8.8,257
2025,toan,9.0,12956
2025,toan,9.1,3
2025,toan,9.2,62
2025,toan,9.25,264
2025,toan,9.4,16
2025,toan,9.5,2517
2025,toan,9.6,3
2025,toan,9.75,40
2025,toan,10.0,513
